date,title,body,video_id,video_url,playlist,minutes_match
2019-10-15,Salt Lake City Council Work Session - 10/15/2019,Council,jSkCN-kuyn4,https://www.youtube.com/watch?v=jSkCN-kuyn4,streams,false
2019-10-09,"Planning Commission Meeting - October 9, 2019",PlanningCommission,FfRd_iUJpv4,https://www.youtube.com/watch?v=FfRd_iUJpv4,streams,false
2019-10-08,Salt Lake City Council Formal Meeting - 10/8/2019,Council,bjmOHHysYo4,https://www.youtube.com/watch?v=bjmOHHysYo4,streams,false
2019-10-08,Salt Lake City Council Work Session - 10/8/2019,Council,Ns3K6YZBbXk,https://www.youtube.com/watch?v=Ns3K6YZBbXk,streams,false
2019-10-08,Redevelopment Agency (RDA) of Salt Lake City - 10/8/2019,Council,UTiEu3LIHTg,https://www.youtube.com/watch?v=UTiEu3LIHTg,streams,false
2019-10-03,"Historic Landmarks Commission Meeting - October 03, 2019",Other,p4Vr8GtIpaY,https://www.youtube.com/watch?v=p4Vr8GtIpaY,streams,false
2019-09-25,"Planning Commission - September 25, 2019",PlanningCommission,OwlEHvJEZTc,https://www.youtube.com/watch?v=OwlEHvJEZTc,streams,false
2019-09-24,Salt Lake City Council Work Session - 9/24/2019,Council,TMnHk_l0kI0,https://www.youtube.com/watch?v=TMnHk_l0kI0,streams,false
2019-09-24,Redevelopment Agency (RDA) of Salt Lake City - 9/24/2019,Council,guTs8HCH-ww,https://www.youtube.com/watch?v=guTs8HCH-ww,streams,false
2019-09-17,Salt Lake City Council Formal Meeting - 9/17/2019,Council,BLHEi1jdLCc,https://www.youtube.com/watch?v=BLHEi1jdLCc,streams,false
2019-09-17,Salt Lake City Council Work Session - 9/17/2019,Council,1R-FLC8HjOc,https://www.youtube.com/watch?v=1R-FLC8HjOc,streams,false
2019-09-11,"Planning Commission Meeting - September 11, 2019",PlanningCommission,S-HiAXCPBCM,https://www.youtube.com/watch?v=S-HiAXCPBCM,videos,false
2019-09-05,"Historic Landmarks Commission Meeting - September 5, 2019",Other,FRwzEymXaQ8,https://www.youtube.com/watch?v=FRwzEymXaQ8,streams,false
2019-09-03,Salt Lake City Council Formal Meeting - 9/3/2019,Council,SOWyk2kQPVE,https://www.youtube.com/watch?v=SOWyk2kQPVE,streams,false
2019-09-03,Salt Lake City Council Work Session - 9/3/2019,Council,mvwTop25SK0,https://www.youtube.com/watch?v=mvwTop25SK0,streams,false
2019-08-28,"Planning Commission Meeting - August 28, 2019",PlanningCommission,jXG4km1OV6o,https://www.youtube.com/watch?v=jXG4km1OV6o,videos,false
2019-08-27,Salt Lake City Council Formal Meeting - 8/27/2019,Council,D7aFmaYxlw4,https://www.youtube.com/watch?v=D7aFmaYxlw4,streams,false
2019-08-27,Redevelopment Agency (RDA) of Salt Lake City Meeting - 8/27/2019,Council,HlvhwannVvU,https://www.youtube.com/watch?v=HlvhwannVvU,streams,false
2019-08-27,Salt Lake City Council Work Session (Parts 1 & 2) - 8/27/2019,Council,uZjUt7-9jrY,https://www.youtube.com/watch?v=uZjUt7-9jrY,videos,false
2019-08-20,Salt Lake City Council Formal Meeting - 8/20/19,Council,0ieypTzvr_k,https://www.youtube.com/watch?v=0ieypTzvr_k,streams,false
2019-08-20,Redevelopment Agency (RDA) of Salt Lake City Meeting - 8/20/2019,Council,ddhqU4ODp70,https://www.youtube.com/watch?v=ddhqU4ODp70,streams,false
2019-08-14,"Planning Commission Meeting - August 14, 2019",PlanningCommission,BWiV2YhUHVM,https://www.youtube.com/watch?v=BWiV2YhUHVM,streams,false
