referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
14,high,address+subject,Council,PlanningCommission,26,4235,2021-01-21,Fayeway Annexation Approximately 1170 E. 8600 S. [High Point - Community #6],4269,2021-02-16,Fayeway Annexation Approximately 1170 E. 8600 S. [High Point - Community #6],1170 e 8600 s,1.0,
15,high,address+subject,Council,PlanningCommission,26,4237,2021-01-21,Monte Cristo Annexation (R-1-40) Zone 9565 S. Wasatch Boulevard [Granite - Community #30],4270,2021-02-16,Monte Cristo Annexation (R-1-40) Zone 9565 S. Wasatch Boulevard [Granite - Community #30],9565 s wasatch,1.0,
18,high,address+subject,Council,PlanningCommission,54,4236,2021-01-21,Kasteler Annexation (R-1-20) Zone 10118 South Alta Villa Drive [Falcon Hill - Community #21],4317,2021-03-16,"Kasteler Annexation (R-1-20A) Zone 2576 E., 2590 E. 10000 South and 10118 South Alta Villa Drive [Falcon Hill - Community #21]",10118 s alta villa,1.0,
19,high,address+subject,Council,PlanningCommission,26,4274,2021-02-18,"Kasteler Annexation R-1-20A Zone 2576 E., 2590 E. 10000 S. and 10118 S. Alta Villa Drive [Community #21 - Falcon Hill]",4317,2021-03-16,"Kasteler Annexation (R-1-20A) Zone 2576 E., 2590 E. 10000 South and 10118 South Alta Villa Drive [Falcon Hill - Community #21]",10118 s alta villa; 2590 e 10000 s,1.0,
21,high,address+subject,Council,PlanningCommission,26,4378,2021-05-06,"Crescent View Peaks Rezone - R-1-40A to R-1-20A 137 E. 11000 S. [Community #11, Crescent]",4380,2021-06-01,"Community Development Department presenting a rezone application (File #ZONE-04-21-6018, Crescent View Peaks) submitted by Stonybrook Building Company, requesting that 1.0 acre addressed as 137 E. 11000 S. be rezoned to the R-1-20A Zone.",137 e 11000 s,1.0,
26,high,address+subject,Council,PlanningCommission,19,4539,2021-08-19,Creek Road West Annexation Approximately 1834 East Creek Road going west to Union Park Avenue [High Point - Community #6 and Community #15],4547,2021-09-07,Creek Road West Annexation Approximately 1834 East Creek Road going west to Union Park Avenue [High Point - Community #6 and Community #15],1834 e creek,1.0,
27,high,address+subject,Council,PlanningCommission,19,4540,2021-08-19,Creek Road East Annexation Approximately 8170 E. Highland Drive going east through 8215 South Rossett Green Lane [Community #18],4548,2021-09-07,Creek Road East Annexation Approximately 8170 East Highland Drive going east through 8215 South Rossett Green Lane [Community #18],8170 e highland; 8215 s rossett green,1.0,
36,high,address+subject,Council,PlanningCommission,19,4676,2021-11-18,Aspen Ridge Road Partial Street Vacation 1286 E. Spring Ridge Dr. [Community #14],4693,2021-12-07,Aspen Ridge Road Partial Street Vacation 1286 E. Spring Ridge Dr. [Community #14],1286 e spring ridge,1.0,
41,high,address+subject,Council,PlanningCommission,12,5079,2022-10-06,CC Sheep Ranch Annexation (R-1-15 Zone) 3170 E. Little Cottonwood Road [Community 30],5080,2022-10-18,CC Sheep Ranch Annexation (R-1-15 Zone) 3170 E. Little Cottonwood Road [Community 30],3170 e little cottonwood,1.0,
48,high,address+subject,Council,PlanningCommission,40,5448,2023-07-20,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",5470,2023-08-29,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",10600 s 1000 e,1.0,
51,high,address+subject,Council,PlanningCommission,26,5491,2023-08-03,"Rainbow Oaks P.U.D. Amended (Public Utility Easement Vacation) 11489 S Oberland Road [Bell Canyon, Community #27]",5499,2023-08-29,"Public Utility Easement Vacation (Rainbow Oaks P.U.D. Amended) 11489 S Oberland Road [Bell Canyon, Community #27]",11489 s oberland,1.0,
54,high,address+subject,Council,PlanningCommission,89,5392,2023-06-01,"Brand Estates Subdivision 285 East 11000 South [Community #11, Crescent]",5518,2023-08-29,"Brand Estates Rezone #2 285 East 11000 South Crescent, Community #11",285 e 11000 s,1.0,
59,high,address+subject,Council,PlanningCommission,26,5490,2023-08-03,"Sophie Lane (Street Vacation) 285 East 11000 South [Crescent, Community #11]",5519,2023-08-29,"Sophie Lane (Street Vacation) 285 East 11000 South Crescent, Community #11",285 e 11000 s,1.0,
63,high,address+subject,Council,PlanningCommission,47,5510,2023-08-17,"OneTen Apartments (Code Amendment) Amendments to Title 21 of the Land Development Code, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District 109 W. 11000 S. [Commercial Area, #9]",5578,2023-10-03,"OneTen Apartments (Code Amendment) Amendments to Title 21 of the Land Development Code, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District 109 W. 11000 S. [Commercial Area, #9]",109 w 11000 s,1.0,
65,high,address+subject,Council,PlanningCommission,131,5448,2023-07-20,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",5627,2023-11-28,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",10600 s 1000 e,1.0,
