motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
710,171,2,4,"Commissioner Quigley —1 am ready to make a motion. First, | want to say thank you because that is one of the answers we have been looking for about the deeding and getting that clarified. With that said, my motion is because we have kind of overwhelmed everybody with a lot of thoughts tonight and | think in all fairness to you guys we probably need to have a cooling period and come back with an opportunity for you to present solutions for some of the concerns. With that said, | would like to make a motion that we table this application. Commissioner Wright — Do we need to get more specific on ",Procedural/Administrative,3-4 Fail,Fail,pc_final_action,,table,keyword,high,,,,11,10,1,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
711,171,2,5,"Commissioner McElreath - | move that we approve File #9521 a Preliminary Subdivision Plat “GT Estates” for approximately 1.972 acres of real property, as identified in Exhibit E, to include 20% for flag lots subject to the Findings and Conditions outlined in the Staff Report and to include that the plat indicate that the lots next to the private drive are responsible for maintenance of that private drive and that what is on current Lot #9, the storm drain is the responsibility of the owner of Lot #9",Land-Use/Zoning,5-2 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,103,singleton,high,17,16,1,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
712,171,2,6,"Commissioner Quigley - | move that we send a positive recommendation to the City Council for File #2Z22 for an amendment to the Land Development Code related to the minimum land area required to establish a zoning district, as specified in Exhibit A, based on the findings outlined in the Staff Report",Land-Use/Zoning,Positive recommendation 5-2,Pass,pc_recommendation,Positive,approve,keyword,high,104,case_no,high,11,17,0,minutes/2022/2022-02-21/2022-02-22_planning-commission.md
713,172,2,1,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,,0,minutes/2022/2022-03-07/2022-03-09_planning-commission.md
714,173,2,1,"Commissioner Russell – I move for approval of the consent agenda consisting of the Minutes for February 22 and March 9, 2022",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,12,14,0,minutes/2022/2022-03-21/2022-03-23_planning-commission.md
715,173,2,2,Commissioner Quigley – I move that we table Item #8C22 to a future meeting,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,table,keyword,high,105,case_no,high,11,16,0,minutes/2022/2022-03-21/2022-03-23_planning-commission.md
716,173,2,3,Commissioner Wendel - I move that we approve File #7S21 for a simple subdivision plat located at 4448 and 4450 South Edgeware Lane based on the Findings and Conditions as stated in the Staff Report,Land-Use/Zoning,"Approved (Final Action, unanimous)",Pass,pc_final_action,,approve,keyword,high,106,case_no,high,16,12,0,minutes/2022/2022-03-21/2022-03-23_planning-commission.md
717,173,2,4,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,,0,minutes/2022/2022-03-21/2022-03-23_planning-commission.md
718,174,2,1,"Commissioner Russell – I move for approval of the Consent Agenda consisting of the Minutes for March 23, 2022",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,12,16,0,minutes/2022/2022-04-25/2022-04-26_planning-commission.md
719,174,2,2,Commissioner McElreath – I move that we approve File #8C22 for a request for a Conditional Use Permit to operate a Reception Center and Hours of Operation Extension for the property located at 3193 West 4700 South as presented in the Staff Report,Land-Use/Zoning,5-1 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,105,case_no,high,17,16,1,minutes/2022/2022-04-25/2022-04-26_planning-commission.md
720,174,2,3,"Commissioner Quigley – I move that we approve the applicant’s request to modify Condition of Approval #1 for File #9S21, as stated in the February 22, 2022, Planning Commission meeting minutes, to allow a 6-foot-tall non-climbable vinyl fence in lieu of a 6-foot-tall wrought iron fence or masonry wall, adjacent to the canal on the northern subdivision boundary, subject to the Findings outlined in the Staff Report",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,107,case_no,high,11,14,0,minutes/2022/2022-04-25/2022-04-26_planning-commission.md
