date,year,title,body,slug,path,source,source_url,format
2023-05-09,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-05-09_council_49.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05092023-49,pdf-text
2023-05-23,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-05-23_council_56.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05232023-56,pdf-text
2023-06-13,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-06-13_council_62.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06132023-62,pdf-text
2023-06-19,2023,City Council Special Meeting,Council,council-special,minutes/2023/2023-06-19_council_64.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06192023-64,pdf-text
2023-06-27,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-06-27_council_63.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06272023-63,pdf-text
2023-07-11,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-07-11_council_60.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07112023-60,pdf-text
2023-07-25,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-07-25_council_61.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_07252023-61,pdf-text
2023-08-08,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-08-08_council_53.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08082023-53,pdf-text
2023-08-23,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-08-23_council_44.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_08232023-44,pdf-text
2023-09-12,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-09-12_council_67.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_09122023-67,pdf-text
2023-09-26,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-09-26_council_50.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_09262023-50,pdf-text
2023-10-10,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-10-10_council_65.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10102023-65,pdf-text
2023-10-24,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-10-24_council_66.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_10242023-66,pdf-text
2023-11-14,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-11-14_council_57.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_11142023-57,pdf-text
2023-11-28,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-11-28_council_58.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_11282023-58,pdf-text
2023-12-12,2023,City Council Regular Meeting,Council,council-regular,minutes/2023/2023-12-12_council_45.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_12122023-45,pdf-text
2024-01-09,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-01-09_council_48.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01092024-48,pdf-text
2024-01-23,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-01-23_council_59.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_01232024-59,pdf-text
2024-03-12,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-03-12_council_54.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_03122024-54,pdf-text
2024-03-26,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-03-26_council_55.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_03262024-55,pdf-text
2024-04-09,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-04-09_council_51.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04092024-51,pdf-ocr
2024-04-13,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-04-13_council_52.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04132024-52,pdf-ocr
2024-04-23,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-04-23_council_43.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_04232024-43,pdf-ocr
2024-05-14,2024,Magna Council Meeting,Council,council-regular,minutes/2024/2024-05-14_council_1170407.md,pmn,https://www.utah.gov/pmn/files/1170407.pdf,pdf-ocr
2024-05-28,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-05-28_council_42.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_05282024-42,pdf-ocr
2024-06-11,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-06-11_council_36.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06112024-36,pdf-ocr
2024-06-25,2024,City Council Regular Meeting,Council,council-regular,minutes/2024/2024-06-25_council_37.md,civicplus,https://magna.utah.gov/AgendaCenter/ViewFile/Minutes/_06252024-37,pdf-ocr
