date,year,title,slug,path,source,source_url,format
2021-05-12,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-05-12_909,minutes/2021/2021-05-10/council_2021-05-12_909.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05122021-909,text
2021-05-26,2021,"2021, AMENDED City Council Regular Meeting Agenda PDF",council_2021-05-26_915,minutes/2021/2021-05-24/council_2021-05-26_915.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05262021-915,text
2021-06-09,2021,"2021, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",council_2021-06-09_921,minutes/2021/2021-06-07/council_2021-06-09_921.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06092021-921,text
2021-06-09,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-06-09_922,minutes/2021/2021-06-07/council_2021-06-09_922.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06092021-922,text
2021-06-22,2021,"2021, City Council Special Electronic Meeting Agenda PDF",council_2021-06-22_925,minutes/2021/2021-06-21/council_2021-06-22_925.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06222021-925,text
2021-06-23,2021,"2021, AMENDED City Council, LBA & RDA Combined Meeting Agenda PDF",council_2021-06-23_927,minutes/2021/2021-06-21/council_2021-06-23_927.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06232021-927,text
2021-07-08,2021,"2021, City Council Special Electronic Meeting Agenda PDF",council_2021-07-08_937,minutes/2021/2021-07-05/council_2021-07-08_937.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07082021-937,text
2021-07-14,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-07-14_941,minutes/2021/2021-07-12/council_2021-07-14_941.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07142021-941,text
2021-07-14,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-07-14_942,minutes/2021/2021-07-12/council_2021-07-14_942.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07142021-942,text
2021-07-28,2021,"2021, AMENDED City Council Regular Meeting Agenda PDF",council_2021-07-28_946,minutes/2021/2021-07-26/council_2021-07-28_946.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07282021-946,text
2021-08-25,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-08-25_952,minutes/2021/2021-08-23/council_2021-08-25_952.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08252021-952,text
2021-08-28,2021,"2021, City Council Special Meeting Agenda PDF",council_2021-08-28_956,minutes/2021/2021-08-23/council_2021-08-28_956.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08282021-956,text
2021-09-22,2021,"2021, City Council, Planning Commission & RDA Combined Meeting Agenda (PDF)",council_2021-09-22_968,minutes/2021/2021-09-20/council_2021-09-22_968.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09222021-968,text
2021-10-06,2021,"2021, AMENDED City Council Regular Meeting Agenda PDF",council_2021-10-06_973,minutes/2021/2021-10-04/council_2021-10-06_973.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10062021-973,text
2021-10-06,2021,"2021, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2021-10-06_974,minutes/2021/2021-10-04/council_2021-10-06_974.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10062021-974,text
2021-10-14,2021,"2021, City Council Special Meeting Agenda PDF",council_2021-10-14_978,minutes/2021/2021-10-11/council_2021-10-14_978.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10142021-978,text
2021-11-16,2021,"2021, City Council Board of Canvassers Meeting Agenda PDF",council_2021-11-16_996,minutes/2021/2021-11-15/council_2021-11-16_996.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11162021-996,text
2021-11-17,2021,"2021, City Council Regular Meeting Agenda PDF",council_2021-11-17_997,minutes/2021/2021-11-15/council_2021-11-17_997.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11172021-997,text
2021-12-08,2021,"2021, City Council, LBA & RDA Combined Meeting Agenda PDF",council_2021-12-08_1006,minutes/2021/2021-12-06/council_2021-12-08_1006.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12082021-1006,text
2022-01-04,2022,"2022, City Council Special Meeting Agenda",council_2022-01-04_1012,minutes/2022/2022-01-03/council_2022-01-04_1012.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01042022-1012,text
2022-01-12,2022,"2022, City Council, Planning Commission & RDA Combined Meeting Agenda PDF",council_2022-01-12_1015,minutes/2022/2022-01-10/council_2022-01-12_1015.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01122022-1015,text
2022-01-26,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-01-26_1018,minutes/2022/2022-01-24/council_2022-01-26_1018.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01262022-1018,text
2022-02-09,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-02-09_1022,minutes/2022/2022-02-07/council_2022-02-09_1022.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02092022-1022,text
2022-02-23,2022,"2022, City Council, LBA & RDA Combined Meeting Agenda PDF",council_2022-02-23_1026,minutes/2022/2022-02-21/council_2022-02-23_1026.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02232022-1026,text
2022-03-09,2022,"2022, City Council & RDA Combined Meeting Agenda PDF",council_2022-03-09_1031,minutes/2022/2022-03-07/council_2022-03-09_1031.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03092022-1031,text
2022-03-23,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-03-23_1039,minutes/2022/2022-03-21/council_2022-03-23_1039.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03232022-1039,text
2022-04-13,2022,"2022, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2022-04-13_1050,minutes/2022/2022-04-11/council_2022-04-13_1050.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04132022-1050,text
2022-04-13,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-04-13_1051,minutes/2022/2022-04-11/council_2022-04-13_1051.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04132022-1051,text
2022-04-27,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-04-27_1057,minutes/2022/2022-04-25/council_2022-04-27_1057.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04272022-1057,text
2022-05-11,2022,"2022, City Council, LBA & RDA Combined Meeting Agenda PDF",council_2022-05-11_1065,minutes/2022/2022-05-09/council_2022-05-11_1065.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05112022-1065,text
2022-05-25,2022,"2022, City Council Regular Meeting Agenda PDF",council_2022-05-25_1072,minutes/2022/2022-05-23/council_2022-05-25_1072.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05252022-1072,text
2022-06-08,2022,"2022, City Council and Planning Commission Combined Meeting Agenda PDF",council_2022-06-08_1075,minutes/2022/2022-06-06/council_2022-06-08_1075.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06082022-1075,text
