year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2023,municipal general,Mona City Council,mona,Council,At-Large,,JANA CRAWFORD,,162,5,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
2023,municipal general,Mona City Council,mona,Council,At-Large,,RUSSELL A FORSYTH,,83,6,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,TRAVIS L WORWOOD,,895,1,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,SHARI COWAN,,812,2,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,J.D. PARADY,,764,3,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,LARRY OSTLER,,693,4,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,JOHN BRADLEY,,621,5,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Nephi City Council,nephi,Council,At-Large,,BART STANLEY MILLER,,572,6,5,false,raw/ev/ev-juab-2023-Nov-General-item-7d7405ca-4b4d-43e0-a150-9f6941e7cd84.json
2023,municipal general,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,,ANDREW AAGARD,,83,1,1,false,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json
2023,municipal general,Rocky Ridge Town Council,rocky_ridge,Council,At-Large,,JOANNA COVINGTON,,55,2,1,false,raw/ev/ev-juab-2023-Nov-General-item-75b771d8-868a-405f-8ae2-be665ecacb7d.json
