referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
59,medium,subject,Council,PlanningCommission,9,1039,2021-05-11,Commissioner Fisher made a motion to recommend approval of a preliminary plat for an eighty- five (85) lot residential subdivision known as Yellow Knolls at the Ledges Phases 1—4 located north and east of the intersection of Canyon Tree Drive and Pocket Mesa Drive,241,2021-05-20,A motion was made by Councilmember Larkin to approve the preliminary plat for Yellow Knolls at The Ledges Phases 1-4.,,0.869,
78,medium,subject,Council,PlanningCommission,9,1116,2021-10-12,Commissioner West made a motion to recommend approval for item 6D a 19-lot residential subdivision for Desert Reserve phase 3 located at the intersection of Desert Canyons Parkway and Castillo Drive.,318,2021-10-21,"A motion was made by Councilmember Curtis to approve the preliminary plat for preliminary plat for Desert Reserve Phase 3, 19-lot residential subdivision located at the intersection of Desert Canyons Parkway and Castillo Drive in the Desert Canyons Development.",,0.928,
47,medium,subject,Council,PlanningCommission,389,884,2020-02-23,Commissioner West made a motion to approve Item 3 a Hillside Development Permit to allow development of a Restaurant/Multi-Tenant Commercial Building.,197,2021-03-18,A motion was made by Councilmember Curtis to approve the hillside permit to allow development on the site of a restaurant/multi-tenant commercial building within the hillside to be known as Commerce Point North on approximately 2.13 acres located at approximately 1276 S Black Ridge Dr / 1190 S Bluff Street.,,0.933,
84,low,address,Council,PlanningCommission,9,1126,2021-11-09,Commissioner Kemp made a motion to recommend approval of Item 1 Boulder Creek Commons now called River Crossing located at the corner of 1450 South and River Road with the following conditions: 1. The access to the parking field between buildings G and H on the landscape plan be reduced from 2 to 1 and that the applicant agreed to put in as a private drive access the access that is located south of future building H for use as a full access until such time as the second phase is developed. Amended to include they work with staff to illustrate in each drive through area how many cars will stack and if there is a way to create as much stack as possible without clogging up the drive aisles.,341,2021-11-18,"A motion was made by Councilmember Larkin to approve the preliminary plat for River Crossing phase 1, an 8-lot subdivision located at the southeast intersection of 1450 South and River Road with the condition that the traffic study be reviewed for the first exit off 1450 South to decide whether it should be a right in, right out.",1450 s and river,0.048,
2,low,address,Council,PlanningCommission,23,855,2020-01-14,Commissioner Curtis made a motion to recommend approval of the general plan amendment from low density residential to professional office on approximately three acres generally located at 2046 N Tuweap Drive on both parcels.,14,2020-02-06,A motion was made by Councilmember Hughes to approve the ordinance amending the general plan from LDR to PO on approximately 3.0 acres located at 2046 North Tuweap Drive with the condition that any underlying zoning that comes in will be a Planned Development zone.,2046 n tuweap,0.099,
29,low,address,Council,PlanningCommission,23,962,2020-11-24,"Commissioner Brager made a motion to recommend to City Council approval of Item 1A a zone change amendment for Riverfront Medical Center PD on 4.7 acres at 600 E Riverside Drive with the following conditions, including staff comments, the drainage for the entire property is resolved to the satisfaction with the city and that any signage complies with city code including not permitting electronic signs.",154,2020-12-17,"A motion was made by Councilmember Hughes to approve the ordinance amending the Riverfront Medical Center PD (Planned Development) on approximately 4.7 acres located approximately 600 East Riverside Drive to allow the second phase of the medical center which would include a single 3-story building, excluding the sign.",600 e riverside,0.164,
127,low,address,Council,PlanningCommission,58,1361,2024-07-23,"A motion was made by Planning Commission Member Rogers to recommend approval of the request to amend an approved PD-C (Planned Development Commercial) on approximately .93 acres, located at 1664 S Dixie Drive for the purpose of building an athletic club, dance school, health fitness and events studio. Providing the applicant does not need put the 6’ wall on this property, with staff’s two recommendations and not insert the word “events” into the Dixie Commons PD-C, potential events could operate under standard business practices, and any special events would come to the City for permit.",670,2024-09-19,"A motion was made by Councilmember Larkin to approve Ordinance No. 2024-057 amending the existing Dixie Commons PD-C (Planned Development Commercial) zone on approximately .93 acres located at 1664 South Dixie Drive, including all of the Planning Commission’s recommendations.",1664 s dixie,0.523,
60,low,address,Council,PlanningCommission,23,1049,2021-06-22,"Commissioner West, I move to make a motion to recommend a consider request to change the zoning from C-3 to PD-C which is number 2b, to allow the Humane Society of Utah to build a state of the art pet resource center in this location on 2860 East 850 North.",255,2021-07-15,A motion was made by Councilmember Larkin to approve the ordinance changing the zone from C-3 to PD-C on approximately 2.35 acres located at the northwest corner of 2860 East 850 North with the Planning Commission’s recommendations.,2860 e 850 n,0.526,
43,low,subject,Council,PlanningCommission,-404,1174,2022-04-12,Commissioner Fisher made a motion to recommend approval of Item 3A a zone change amendment to Desert Color PD Sage Haven.,185,2021-03-04,A motion was made by Councilmember McArthur to approve the preliminary plat for Desert Color Sage Haven Plat A.,,0.621,
18,low,subject,Council,PlanningCommission,-1881,1512,2025-10-28,"A motion was made by Planning Commission Member Draper to approve Item 6, preliminary plat for Desert Canyons Town Center West.",100,2020-09-03,A motion was made by Councilmember Hughes to approve the preliminary plat for Desert Canyons Town Center West Commercial.,,0.627,
6,low,subject,Council,PlanningCommission,-1335,1309,2023-12-12,Commissioner Draper made a motion to recommend approval of Sun River Commons lot 4a and 4b preliminary plat.,47,2020-04-16,A motion was made by Councilmember Larkin to approve the preliminary plat for Sun River Commons Phase 6.,,0.658,
91,low,subject,Council,PlanningCommission,541,907,2020-07-14,Commissioner Larsen made a motion to recommend approval to City Council item 1B Bloomington Country Club lot 10 as presented.,368,2022-01-06,A motion was made by Councilmember Hughes to approve the preliminary plat for Bloomington Country Club Lot 29.,,0.704,
51,low,subject,Council,PlanningCommission,403,885,2020-02-23,Commissioner Kemp made a motion to recommend for approval a conditional use permit for Item 4B to amend an existing short-term rental/bed and breakfast to allow for construction of an on-site manager suite. The project is located at 217 North 100 West. Including the review criteria included in the packet by staff.,202,2021-04-01,A motion was made by Councilmember Larkin to approve the conditional use permit to amend an existing short-term rental/bed and breakfast to allow for construction of an on-site manager suite located at 217 North 100 West.,217 n 100 w,0.961,
114,high,override,Council,PlanningCommission,,883,2020-02-23,"Commissioner West made a motion to recommend approval of the zone change for number 2B a zone change from A-1 to RE-12.5. Commissioner Kemp – I am uncomfortable with all the issues. Bryan Pack – All these issues will not be resolved tonight; this is for the zone change only, that is all that will be acknowledged with this motion.",522,2023-05-04,"A motion was made by Councilmember Larkin to approve the Hillside Development Permit to allow for the disturbance of areas in the 20-30%, 30- 40%, and 40% and above slope areas in anticipation of the construction of the Rosewood Townhomes project.",,,Desert Cliffs — Council hillside permit to PC Desert Cliffs at Desert Canyons
121,high,override,Council,PlanningCommission,,932,2020-09-22,Commissioner Curtis made a motion to recommend for approval Item 2C as presented.,599,2023-12-07,"A motion was made by Councilmember Hughes to approve Ordinance No. 2023-041 amending Title 8, Chapter 6, Section 2 and Section 3, Stormwater Services of the City Code to clarify and adjust the Equivalent Residential Unit (ERU) calculation.",,,Auburn Hills Phase 6 — Council plat to PC Phase 6 plat recommendation
122,high,override,Council,PlanningCommission,,934,2020-10-13,Commissioner Nelson made a motion to recommend approval of a hillside permit with staff recommendations and hillside recommendations.,601,2023-12-07,"A motion was made by Councilmember Larkin to approve Ordinance No. 2023-043 amending an approved PD-C (Planned Development Commercial) on approximately 18 acres, generally located on the southeast corner of River Road and George Washington Boulevard for the purpose of amending the elevations on five of the previously approved buildings and approving six of the building elevations not previously approved and approving a legislative exception for a removal of a wall on the south end of the site, for a project known as River Crossing, with conditions from the Planning Commission.",,,Auburn Hills Phase 17 — Council plat to PC Phase 17 plat recommendation
62,high,address+subject,Council,PlanningCommission,23,1058,2021-07-13,Commissioner West made a motion to recommend approval of item 2 a general plan amendment from LDR to COM on generally located at the south east corner of 900 South Street and River Road,266,2021-08-05,A motion was made by Councilmember Smethurst to approve the ordinance changing the general plan future land-use map from LDR to COM on approximately 8.83 acres located at the southeast corner of the intersection of 900 South Street and River Road to be known as 900 South Properties.,900 south,0.441,
86,high,address+subject,Council,PlanningCommission,37,1118,2021-10-26,Commissioner Kemp made a motion to recommend to the City Council approval of the general plan amendment Item 1 for approximately 53 acres located at 3050 East Street and about 750 North with all of the comments that are in the staff packet.,351,2021-12-02,"A motion was made by Councilmember Larkin to approve the ordinance changing the general plan future land-use map from COM and IND to MDR, HDR, and PF on approximately 53 acres located east of 3050 East Street and north of 750 North Street to be known as St. George White Hills Development.",3050 east,0.509,
88,high,address+subject,Council,PlanningCommission,51,1118,2021-10-26,Commissioner Kemp made a motion to recommend to the City Council approval of the general plan amendment Item 1 for approximately 53 acres located at 3050 East Street and about 750 North with all of the comments that are in the staff packet.,357,2021-12-16,"A motion was made by Councilmember Curtis to approve the ordinance changing the zone from C-3 and R-1-10 to PD-C on approximately 15 acres located east of 3050 East Street, north of 750 North to be known as Zion Regional Medical Center.",3050 east,0.509,
89,high,address+subject,Council,PlanningCommission,51,1118,2021-10-26,Commissioner Kemp made a motion to recommend to the City Council approval of the general plan amendment Item 1 for approximately 53 acres located at 3050 East Street and about 750 North with all of the comments that are in the staff packet.,358,2021-12-16,"A motion was made by Councilmember Smethurst to approve the ordinance changing the zone from C-3, M-1, and R-1-10 to PD-C on approximately 26.99 acres located east of 3050 East Street, north of 750 North Street to be known as St. George White Hills Development.",3050 east,0.509,
81,high,address+subject,Council,PlanningCommission,9,1129,2021-11-09,Commissioner Larsen made a motion to recommend approval of item 3 the historic preservation landmark status to the home on 179 West 200 North as presented.,334,2021-11-18,A motion was made by Councilmember McArthur to approve the petition to designate a local landmark site for the Junius and Margaret Ann Barton Home on approximately 0.12 acres located at 179 West 200 North Street.,179 w 200 n,0.533,
93,high,address+subject,Council,PlanningCommission,86,1129,2021-11-09,Commissioner Larsen made a motion to recommend approval of item 3 the historic preservation landmark status to the home on 179 West 200 North as presented.,370,2022-02-03,A motion was made by Councilmember McArthur to approve the conditional use permit for the short-term rental of a local landmark known as the Junius & Margaret Ann Barton Home on approximately .12 acres located at 179 West 200 North.,179 w 200 n,0.533,
109,high,address+subject,Council,PlanningCommission,359,1153,2022-01-11,Commissioner Andrus made a notion to recommend approval of Item 6B for the Desert Canyon Townhomes at 2800 East Skywalker Drive.,496,2023-01-05,"A motion was made by Councilmember Larkin to approve the preliminary plat for Desert Terrace at Desert Canyons, a 32-lot residential subdivision located at approximately 2800 East Skywalker Drive.",2800 e skywalker,0.549,
14,high,address+subject,Council,PlanningCommission,179,885,2020-02-23,Commissioner Kemp made a motion to recommend for approval a conditional use permit for Item 4B to amend an existing short-term rental/bed and breakfast to allow for construction of an on-site manager suite. The project is located at 217 North 100 West. Including the review criteria included in the packet by staff.,93,2020-08-20,A motion was made by Councilmember Smethurst to approve the conditional use permit to operate a vacation (short term) rental out of a designated landmark site located at 217 North 100 West.,217 n 100 w,0.581,
113,high,address+subject,Council,PlanningCommission,23,1258,2023-04-11,Commissioner Andrus made a motion to recommend approval of Item 1D a hillside permit for 1100 W Curley Hollow Dr.,521,2023-05-04,"A motion was made by Councilmember Tanner to approve the ordinance amending the zone from the R-1-8 (Single Family Residential minimum 8,000 sq ft lot size) and R-1-10 (Single Family Residential minimum 10,000 sq ft lot size) to PD-R (Planned Development Residential) on approximately 14.99 acres located at 1100 West Curley Hollow Drive to allow for a residential townhome development.",1100 w curley hollow,0.664,
115,high,address+subject,Council,PlanningCommission,23,1258,2023-04-11,Commissioner Andrus made a motion to recommend approval of Item 1D a hillside permit for 1100 W Curley Hollow Dr.,523,2023-05-04,"A motion was made by Councilmember Tanner to approve the preliminary plat for the proposed Rosewood Townhomes, a 134-unit townhome development on 14.99 acres located at 1100 West Curley Hollow Drive.",1100 w curley hollow,0.664,
65,high,address+subject,Council,PlanningCommission,9,1077,2021-08-10,Commissioner Kemp made a motion to recommend approval of Item 3 making the Fredrick Blake home 135 South 100 East as a landmark site.,273,2021-08-19,A motion was made by Councilmember Curtis to approve the petition to designate a local landmark site for the Frederick Blake Home on approximately 0.21 acres located at 135 South 100 East Street.,135 s 100 e,0.681,
41,high,address+subject,Council,PlanningCommission,389,872,2020-02-09,Commissioner Kemp made a motion to recommend approval of item 2B an amendment to the Stone Cliff PD (Planned Development) zone on approximately 2.83 acres located on the northeast corner of the intersection of Cobalt Dr and Stone Canyon Dr at approximately 2241 East Cobalt Dr for the development of a new clubhouse including all staff recommendations in the packet.,183,2021-03-04,A motion was made by Councilmember Smethurst to approve the ordinance amending the Stone Cliff Planned Development Residential (PD-R) zone to be known as the Stone Cliff Clubhouse on approximately 2.83 acres located at 2241 East Cobalt Drive.,2241 e cobalt,0.765,
48,high,address+subject,Council,PlanningCommission,9,998,2021-03-09,Commissioner Kemp made a motion to recommend approval to the City Council Item 2 a Hillside Development Permit to allow development of a Restaurant/Multi-Tenant Commercial Building located at approximately 1276 S Black Ridge Drive and 1190 S Bluff Street.,197,2021-03-18,A motion was made by Councilmember Curtis to approve the hillside permit to allow development on the site of a restaurant/multi-tenant commercial building within the hillside to be known as Commerce Point North on approximately 2.13 acres located at approximately 1276 S Black Ridge Dr / 1190 S Bluff Street.,1190 s bluff; 1276 s black ridge,0.93,
80,high,address+subject,Council,PlanningCommission,23,1105,2021-10-12,Commissioner West made a motion to recommend approval of item 2C a general plan amendment from OS (Open Space) to LDR (Low Density Residential) on approximately 2.18 acres generally located 1620 West Traverse Dr.,326,2021-11-04,A motion was made by Councilmember Smethurst to approve the ordinance changing the general plan from OS (Open Space) to LDR (Low Density Residential) on approximately 2.18 acres located at 1620 West Traverse Drive known as Tonaquint Ridge.,1620 w traverse,0.932,
