date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,date_precision,sha256,source_page,matched_election_candidate,join_confidence
2025-08-05,LaNae Millett,Council At-Large,2025,interim,Primary Report,"LaNae Millett — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/LaNae-Millett-primary.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_LaNae-Millett-primary.pdf,cycle_stage,28d3267f0f5e271530c780b7b4e9ef6c51af9d92dc103c29dd4d5fb649cecd03,orem.gov/elections,LANAE MILLETT,exact
2025-10-07,LaNae Millett,Council At-Large,2025,interim,28 days before Election,"LaNae Millett — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Millett-28-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Millett-28-days.pdf,cycle_stage,f942b91c08d600d76a24cf8800067a66f8c72f530ea82153c8466914669b2181,orem.gov/elections,LANAE MILLETT,exact
2025-10-28,LaNae Millett,Council At-Large,2025,interim,7 days before Election,"LaNae Millett — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Millett-7-days.pdf,2026-07-05,scanned,ocr:tesseract,raw/202510_Millett-7-days.pdf,cycle_stage,eecabda9fe355a89005a29daf7f2dcad96e2777cd1c8688494edf294d2fc7b2a,orem.gov/elections,LANAE MILLETT,exact
2025-11-25,LaNae Millett,Council At-Large,2025,summary,Final Report,"LaNae Millett — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Millett-Final.pdf,2026-07-05,scanned,ocr:tesseract,raw/202512_Millett-Final.pdf,cycle_stage,e1d898a760dcff82b769afe56be52e31993e49fcd265373a8e99ab7562d96c13,orem.gov/elections,LANAE MILLETT,exact
2026-01-10,LaNae Millett,Council At-Large,2025,summary,Annual 2026,"LaNae Millett — Orem City campaign financial statement (Annual report Annual 2026, 2025 cycle)",https://orem.gov/wp-content/uploads/2026/01/Millett.pdf,2026-07-05,scanned,ocr:tesseract,raw/202601_Millett.pdf,annual_deadline,b4e4bb6b4c9c38ff9f79417a32ebdb0d06a580967c6dfe5806761ae72f34d060,orem.gov/elections,LANAE MILLETT,exact
2025-08-05,Quinn Mecham,Council At-Large,2025,interim,Primary Report,"Quinn Mecham — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Quinn-Mecham-primary.pdf,2026-07-05,text,pdftotext -layout,raw/202508_Quinn-Mecham-primary.pdf,cycle_stage,dd8a968d41d541bee57007312a18add240ac6b9f2b4a56bac2988c7a9e8f82e3,orem.gov/elections,QUINN MECHAM,exact
2025-10-07,Quinn Mecham,Council At-Large,2025,interim,28 days before Election,"Quinn Mecham — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Mecham-28-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Mecham-28-days.pdf,cycle_stage,e64b47bb5e465e1683c858396b108229356cfc6e3cc9026c8da0b8251da85a51,orem.gov/elections,QUINN MECHAM,exact
2025-10-28,Quinn Mecham,Council At-Large,2025,interim,7 days before Election,"Quinn Mecham — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Mecham-7-days.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Mecham-7-days.pdf,cycle_stage,cf3a0553cf345f25c390beb56d12b83df584ded4eaac20a4b37001fd03f6f2d6,orem.gov/elections,QUINN MECHAM,exact
2025-11-25,Quinn Mecham,Council At-Large,2025,summary,Final Report,"Quinn Mecham — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Mecham-Final.pdf,2026-07-05,text,pdftotext -layout,raw/202512_Mecham-Final.pdf,cycle_stage,5cfa05a43b77a5453d7dc4f51a476d161679502537c7da7057647c6f8b93d046,orem.gov/elections,QUINN MECHAM,exact
2025-08-05,Steven White,Council At-Large,2025,interim,Primary Report,"Steven White — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Steven-White-Primary.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_Steven-White-Primary.pdf,cycle_stage,88be4daa2553ca125952ad5a66aeacdac3533f5817d6ba469f67d25c5a2b1d2e,orem.gov/elections,STEVEN WHITE,exact
2025-11-25,Steven White,Council At-Large,2025,summary,Final Report,"Steven White — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/09/White-Final-Campaign-Finance-Report-1.pdf,2026-07-05,text,pdftotext -layout,raw/202509_White-Final-Campaign-Finance-Report-1.pdf,cycle_stage,0c4c48e3d3b20d9fd663b92283e6b5a57aa9267d8accec4448980d5b0b099be6,orem.gov/elections,STEVEN WHITE,exact
2025-08-05,Tommy Williams,Council At-Large,2025,interim,Primary Report,"Tommy Williams — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Tommy-Williams-Primary-scaled.jpg,2026-07-05,scanned,ocr:tesseract,raw/202508_Tommy-Williams-Primary-scaled.jpg,cycle_stage,eab163809c3b86058b4bde901e6782132d139fa51954b5f91b6acb061624b5a6,orem.gov/elections,TOMMY WILLIAMS,exact
2025-11-25,Tommy Williams,Council At-Large,2025,summary,Final Report,"Tommy Williams — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/09/Tommy-Williams-final-disclosure.pdf,2026-07-05,scanned,ocr:tesseract,raw/202509_Tommy-Williams-final-disclosure.pdf,cycle_stage,a1fb500914b715adf522ea885f3d6d2dfa5f48ea89a94db91e498bb46ef75012,orem.gov/elections,TOMMY WILLIAMS,exact
2025-08-05,Truman Van Cott,Council At-Large,2025,interim,Primary Report,"Truman Van Cott — Orem City campaign financial statement (Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Truman-Van-Cott-Primary.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_Truman-Van-Cott-Primary.pdf,cycle_stage,b096b97610d1ce7a7130b05a15f7dc98ab68bc7748fa871b176372bcb13f2473,orem.gov/elections,TRUMAN VAN COTT,exact
2025-08-20,Truman Van Cott,Council At-Large,2025,summary,Post Primary Report,"Truman Van Cott — Orem City campaign financial statement (Post Primary Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/08/Van-Cott-Primary-Final.pdf,2026-07-05,scanned,ocr:tesseract,raw/202508_Van-Cott-Primary-Final.pdf,cycle_stage,c7ab0b54500ce72b9f576009f22960a25c32b7a9a63bcb38c679fcb9e8bac899,orem.gov/elections,TRUMAN VAN COTT,exact
2025-10-07,Truman Van Cott,Council At-Large,2025,interim,28 days before Election,"Truman Van Cott — Orem City campaign financial statement (28 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Van-Cott-28-days-1.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Van-Cott-28-days-1.pdf,cycle_stage,48c920dacfae29860591be2b03f55b79f9f1e5e0f43cb07a1f56929f69217117,orem.gov/elections,TRUMAN VAN COTT,exact
2025-10-28,Truman Van Cott,Council At-Large,2025,interim,7 days before Election,"Truman Van Cott — Orem City campaign financial statement (7 days before Election, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/10/Van-Cott-7-day-1.pdf,2026-07-05,text,pdftotext -layout,raw/202510_Van-Cott-7-day-1.pdf,cycle_stage,79164be69a5fa1379ab5cfee02f9a455652c918e192ce79e8489132479668346,orem.gov/elections,TRUMAN VAN COTT,exact
2025-11-25,Truman Van Cott,Council At-Large,2025,summary,Final Report,"Truman Van Cott — Orem City campaign financial statement (Final Report, 2025 cycle)",https://orem.gov/wp-content/uploads/2025/12/Van-Cott-Final.pdf,2026-07-05,text,pdftotext -layout,raw/202512_Van-Cott-Final.pdf,cycle_stage,73475b17b6ded086154d4b90ab810615b5817f99e1e81c62f662c5c5d0fe7a7c,orem.gov/elections,TRUMAN VAN COTT,exact
