source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2024/2024-05-06/2024-05-07_planning-commission-meeting.md,3,2024-05-07,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2024/2024-05-06/2024-05-07_planning-commission-meeting.md,4,2024-05-07,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-devagr,high
planning_commission/minutes/2024/2024-05-20/2024-05-21_planning-commission-meeting.md,1,2024-05-21,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-05-20/2024-05-21_planning-commission-meeting.md,2,2024-05-21,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2024/2024-06-17/2024-06-18_planning-commission-meeting.md,1,2024-06-18,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-06-17/2024-06-18_planning-commission-meeting.md,2,2024-06-18,PlanningCommission,Other,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-generic,medium
planning_commission/minutes/2024/2024-06-17/2024-06-18_planning-commission-meeting.md,3,2024-06-18,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2024/2024-06-17/2024-06-18_planning-commission-meeting.md,4,2024-06-18,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,4,1,,roll-call,Positive recommendation 4:1,rule:lu-rezone,high
planning_commission/minutes/2024/2024-06-17/2024-06-18_planning-commission-meeting.md,5,2024-06-18,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
planning_commission/minutes/2024/2024-07-15/2024-07-16_planning-commission-meeting.md,1,2024-07-16,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-07-15/2024-07-16_planning-commission-meeting.md,2,2024-07-16,PlanningCommission,Other,Other,,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:no-signal,low
planning_commission/minutes/2024/2024-07-15/2024-07-16_planning-commission-meeting.md,3,2024-07-16,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-devagr,high
planning_commission/minutes/2024/2024-08-05/2024-08-06_planning-commission-meeting.md,4,2024-08-06,PlanningCommission,Other,Land-Use,Text-Amendment,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,rule:lu-textamend,high
planning_commission/minutes/2024/2024-08-19/2024-08-20_planning-commission-meeting.md,1,2024-08-20,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
planning_commission/minutes/2024/2024-08-19/2024-08-20_planning-commission-meeting.md,2,2024-08-20,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-textamend,high
planning_commission/minutes/2024/2024-08-19/2024-08-20_planning-commission-meeting.md,3,2024-08-20,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-textamend,high
