application_id,app_key,body_id,name,rep_title
74,Council|s|meeting_minutes/minutes/2025/2025-05-19/2025-05-20_city-council-meeting.md|4,1,,adopt Ordinance 25-08 as presented
75,Council|s|meeting_minutes/minutes/2025/2025-05-19/2025-05-20_city-council-meeting.md|5,1,,approve Resolution 25-19 as presented
76,RDA|s|meeting_minutes/minutes/2025/2025-06-16/2025-06-17_redevelopment-agency-meeting.md|1,3,,approve Resolution 25-28 RDA as presented
77,Council|s|meeting_minutes/minutes/2025/2025-08-04/2025-08-05_city-council-meeting.md|4,1,,adopt Ordinance 25-10 as presented
78,RDA|s|meeting_minutes/minutes/2025/2025-09-01/2025-09-02_redevelopment-agency-meeting.md|1,3,,approve Resolution 25-37 RDA as presented
79,Council|s|meeting_minutes/minutes/2025/2025-09-15/2025-09-16_city-council-meeting.md|3,1,,deny Ordinance 25-14 as presented
80,Council|s|meeting_minutes/minutes/2025/2025-09-15/2025-09-16_city-council-meeting.md|4,1,,deny Ordinance 25-15 as presented
81,RDA|s|meeting_minutes/minutes/2025/2025-09-15/2025-09-16_redevelopment-agency-meeting.md|1,3,,approve Resolution 25-40 RDA as presented
82,Council|s|meeting_minutes/minutes/2025/2025-10-06/2025-10-07_city-council-meeting.md|3,1,,"amend Ordinance 25-16 as presented with the following: §17.27B.080 Development Standards – Additional Requirements This Planned Development Overlay requires improvements outside of the Phase 5 project boundaries based on additional commercial land use permissions and associated impacts. A. Public Trail Improvements. A ten-foot-wide concrete multi-use trail, built to city specifications, shall be constructed from the new Trapper Park pedestrian bridge running east for approximately 790 linear feet and running west for approximately 3,010 linear feet and terminating at the northwest corner of th"
83,Council|s|meeting_minutes/minutes/2025/2025-12-15/2025-12-16_city-council-meeting.md|4,1,,adopt Ordinance 25-23 as amended from Community to Community Commercial
84,Council|s|meeting_minutes/minutes/2026/2026-01-19/2026-01-20_city-council-meeting.md|7,1,,adopt Ordinance 26-02 as presented
85,Council|s|meeting_minutes/minutes/2026/2026-01-19/2026-01-20_city-council-meeting.md|8,1,,adopt Ordinance 26-03 as presented
86,Council|s|meeting_minutes/minutes/2026/2026-05-04/2026-05-05_city-council-meeting.md|2,1,,approve Resolution 26-09 as amended
87,PlanningCommission|s|planning_commission/minutes/2020/2020-01-06/2020-01-09_planning-commission-meeting.md|1,2,,Commissioner Newman moved to conditionally approve a Design Review & Subdivision Permit as outlined PC 20-001 with the amended conditions and findings for approval as discussed and listed below. Commissioner Croshaw seconded the motion.
88,PlanningCommission|s|planning_commission/minutes/2020/2020-01-06/2020-01-09_planning-commission-meeting.md|2,2,,Commissioner Lucero moved to conditionally approve a Design Review Permit as outlined PC 20-001 with the amended conditions and findings for approval as listed below. Commissioner Croshaw seconded the motion.
89,PlanningCommission|s|planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md|1,2,,Commissioner Ortiz moved to conditionally approve a Conditional Use Permit as outlined in PC 20-004 with the conditions and findings for approval as listed below. Commissioner Newman seconded the motion.
90,PlanningCommission|s|planning_commission/minutes/2020/2020-01-20/2020-01-23_planning-commission-meeting.md|3,2,,Commissioner Goodlander moved to conditionally approve a Design Review & Conditional Use Permit as presented and outlined in PC 20-006 with the front yard parking as proposed and the conditions and findings for approval as listed below. Commissioner Lucero seconded the motion.
91,PlanningCommission|s|planning_commission/minutes/2020/2020-02-10/2020-02-13_planning-commission-meeting.md|1,2,,Commissioner Goodlander moved to conditionally approve a Conditional Use Permit as outlined in PC 20-007 with the conditions and findings for approval as listed below. Commissioner Ortiz seconded the motion.
92,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|1,2,,Commissioner Newman moved to conditionally approve a Design Review and Conditional Use Permit as outlined in PC 20-008 with the conditions and findings for approval as listed below. Commissioner Lucero seconded the motion.
93,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|2,2,,Commissioner Lucero moved to conditionally approve a Design Review and Conditional Use Permit as outlined in PC 20-009 with the conditions and findings for approval as listed below. Commissioner Newman seconded the motion.
94,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|4,2,,Commissioner Newman moved to recommend denial to the City Council for a zone change from NR-4 to NR-6 as outlined in PC 20-011 with the findings for denial as listed below. Commissioner Croshaw seconded the motion.
95,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|5,2,,"Commissioner Newman moved to continue the Subdivision Permit as outlined in PC 20- 011 to the April 9, 2020 meeting to allow time for the City Council to decide on the zone change request. Commissioner Lucero seconded the motion."
96,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|6,2,,Commissioner Lucero moved to recommend approval to the City Council for the rezone as outlined in PC 20-013 with the findings for approval as listed below. Commissioner Dickinson seconded the motion.
97,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|7,2,,Commissioner Newman moved to conditionally approve a Design Review Permit as outlined in PC 20-012 with the conditions and findings for approval as listed below. Commissioner Croshaw seconded the motion.
98,PlanningCommission|s|planning_commission/minutes/2020/2020-02-24/2020-02-27_planning-commission-meeting.md|8,2,,Commissioner Lucero moved to conditionally approve a Design Review Permit as outlined in PC 20-005 with the amended conditions and findings for approval as discussed listed below. Commissioner Croshaw seconded the motion.
99,PlanningCommission|s|planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md|1,2,,Commissioner Newman moved to forward a recommendation for approval to the City Council for a zone change as outlined in PC 20-014. Commissioner Croshaw seconded the motion. The motion failed.
100,PlanningCommission|s|planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md|2,2,,Commissioner Goodlander moved to forward a recommendation for denial to the City Council for a zone change as outlined in PC 20-014. Commissioner Ortiz seconded the motion.
101,PlanningCommission|s|planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md|3,2,,Commissioner Newman moved to conditionally approve a Design Review Permit as outlined in PC 20-015 with the amended conditions and findings for approval as listed below. Commissioner Ortiz seconded the motion.
102,PlanningCommission|s|planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md|4,2,,Commissioner Ortiz moved to conditionally approve a Design Review as outlined in PC 20-016 with the conditions and amended findings for approval as listed below. Commissioner Goodlander seconded the motion.
103,PlanningCommission|s|planning_commission/minutes/2020/2020-03-09/2020-03-12_planning-commission-meeting.md|6,2,,Commissioner Newman moved to conditionally approve a Subdivision Permit as outlined in PC 20-010 with the amended conditions and findings for approval as listed below. Commissioner Ortiz seconded the motion.
