dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
planning_commission,planning_commission/minutes/2025/2025-08-11/2025-08-14_planning-commission-meeting.md,1,2025-08-14,PlanningCommission,Other,Other,,recommendation,pass,4,0,,roll-call,Positive recommendation 4:0,rule:no-signal,low,1283
planning_commission,planning_commission/minutes/2025/2025-08-11/2025-08-14_planning-commission-meeting.md,2,2025-08-14,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,4,0,,roll-call,Negative recommendation 4:0,rule:lu-rezone,high,1284
planning_commission,planning_commission/minutes/2025/2025-08-11/2025-08-14_planning-commission-meeting.md,3,2025-08-14,PlanningCommission,Other,Other,,recommendation,pass,4,0,,roll-call,Positive recommendation 4:0,rule:no-signal,low,1285
planning_commission,planning_commission/minutes/2025/2025-08-11/2025-08-14_planning-commission-meeting.md,4,2025-08-14,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,4,0,,roll-call,4:0 Approved (Final Action),rule:lu-site,high,1286
planning_commission,planning_commission/minutes/2025/2025-08-11/2025-08-14_planning-commission-meeting.md,5,2025-08-14,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1287
planning_commission,planning_commission/minutes/2025/2025-09-08/2025-09-11_planning-commission-meeting.md,1,2025-09-11,PlanningCommission,Other,Land-Use,Other-Land-Use,recommendation,pass,3,2,,roll-call,Positive recommendation 3:2,rule:lu-historic,medium,1288
planning_commission,planning_commission/minutes/2025/2025-09-08/2025-09-11_planning-commission-meeting.md,2,2025-09-11,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-subdiv,high,1289
planning_commission,planning_commission/minutes/2025/2025-09-08/2025-09-11_planning-commission-meeting.md,3,2025-09-11,PlanningCommission,Other,Other,,final-action,pass,,,,unanimous-declared,Pass (unanimous),rule:no-signal,low,1290
planning_commission,planning_commission/minutes/2025/2025-09-22/2025-09-25_planning-commission-meeting.md,1,2025-09-25,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high,1291
planning_commission,planning_commission/minutes/2025/2025-09-22/2025-09-25_planning-commission-meeting.md,2,2025-09-25,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low,1292
planning_commission,planning_commission/minutes/2025/2025-09-22/2025-09-25_planning-commission-meeting.md,3,2025-09-25,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1293
planning_commission,planning_commission/minutes/2025/2025-10-20/2025-10-23_planning-commission-meeting.md,1,2025-10-23,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high,1294
planning_commission,planning_commission/minutes/2025/2025-10-20/2025-10-23_planning-commission-meeting.md,2,2025-10-23,PlanningCommission,Land-Use/Zoning,Land-Use,Text-Amendment,recommendation,pass,4,1,,roll-call,Positive recommendation 4:1,rule:lu-textamend,high,1295
planning_commission,planning_commission/minutes/2025/2025-10-20/2025-10-23_planning-commission-meeting.md,3,2025-10-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1296
planning_commission,planning_commission/minutes/2025/2025-11-10/2025-11-13_planning-commission-meeting.md,1,2025-11-13,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Negative recommendation 6:0,rule:lu-rezone,high,1297
planning_commission,planning_commission/minutes/2025/2025-11-10/2025-11-13_planning-commission-meeting.md,2,2025-11-13,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1298
planning_commission,planning_commission/minutes/2025/2025-11-10/2025-11-13_planning-commission-meeting.md,3,2025-11-13,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1299
planning_commission,planning_commission/minutes/2025/2025-11-10/2025-11-13_planning-commission-meeting.md,4,2025-11-13,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low,1300
planning_commission,planning_commission/minutes/2025/2025-11-10/2025-11-13_planning-commission-meeting.md,5,2025-11-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1301
planning_commission,planning_commission/minutes/2025/2025-12-08/2025-12-11_planning-commission-meeting.md,1,2025-12-11,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-site,high,1302
planning_commission,planning_commission/minutes/2025/2025-12-08/2025-12-11_planning-commission-meeting.md,2,2025-12-11,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-rezone,high,1303
planning_commission,planning_commission/minutes/2025/2025-12-08/2025-12-11_planning-commission-meeting.md,3,2025-12-11,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high,1304
planning_commission,planning_commission/minutes/2025/2025-12-08/2025-12-11_planning-commission-meeting.md,4,2025-12-11,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-rezone,high,1305
planning_commission,planning_commission/minutes/2025/2025-12-08/2025-12-11_planning-commission-meeting.md,5,2025-12-11,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1306
planning_commission,planning_commission/minutes/2026/2026-01-05/2026-01-08_planning-commission-meeting.md,1,2026-01-08,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high,1307
planning_commission,planning_commission/minutes/2026/2026-01-05/2026-01-08_planning-commission-meeting.md,2,2026-01-08,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high,1308
planning_commission,planning_commission/minutes/2026/2026-01-05/2026-01-08_planning-commission-meeting.md,3,2026-01-08,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1309
planning_commission,planning_commission/minutes/2026/2026-01-19/2026-01-22_planning-commission-meeting.md,1,2026-01-22,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-rezone,high,1310
planning_commission,planning_commission/minutes/2026/2026-01-19/2026-01-22_planning-commission-meeting.md,2,2026-01-22,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1311
planning_commission,planning_commission/minutes/2026/2026-02-09/2026-02-12_planning-commission-meeting.md,1,2026-02-12,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-site,high,1312
planning_commission,planning_commission/minutes/2026/2026-02-09/2026-02-12_planning-commission-meeting.md,2,2026-02-12,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:lu-rezone,high,1313
planning_commission,planning_commission/minutes/2026/2026-02-09/2026-02-12_planning-commission-meeting.md,3,2026-02-12,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Negative recommendation 6:0,rule:lu-rezone,high,1314
planning_commission,planning_commission/minutes/2026/2026-02-09/2026-02-12_planning-commission-meeting.md,4,2026-02-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high,1315
