application_id,app_key,body_id,name,rep_title
54,Council|boyer rezone,1,Boyer Rezone,"that the Riverton City Council deny Ordinance No. 21-33 – Boyer Rezone, Proposed rezone of approximately 8 acres located at 12761 South 3600 West thus keeping the zoning as C-POVEHOV-SD, Professional Office with an Elderly Housing Overlay and Specific Development Designations but remove: 2. No more than 4 attached units per building; 3. Units shall maintain residential character with attached garages and pitched roof with maximum height of 35 feet; and 5. No vehicular access to 12600 South or to the adjacent office care facility site shall be allowed. Councilmember McDougal"
55,Council|s|minutes/2022/2022-01-03/2022-01-04_city-council.md|2,1,,"that the Riverton City Council adopt Ordinance No. 22-01 – Amending Section 10.10, Parking, of the Riverton City Code, relating to unlawful parking in Riverton City. Councilmember McDougal"
56,Council|bergstrom rezone,1,Bergstrom Rezone,"that the Riverton City Council adopt Ordinance No. 22-02 – Bergstrom Rezone, General Plan Amendment to Medium Density Residential and rezone Page | 4 Minutes – City Council Meeting January 4, 2022 of 0.50-acres at 1933 West 11800 South from RR-22 to R-4 of 0.50-acres at 1933 West 11800 South. Councilmember McDougal"
57,Council|s|minutes/2022/2022-01-03/2022-01-04_city-council.md|4,1,,"that the Riverton City Council adopt Ordinance No. 22-03 – General Plan Amendment and Rezone of Approximately 4.07-Acres at 2356 West 11800 South from RR-22 to R-4 SD Single Family Residential with 10,000 Sf Minimum Lot Size, with the SD designation that the lots adjacent to the creek channel shall be at least one- third acre, and directs staff to prepare a development agreement including shared access requirements with the adjacent properties to the west, to be executed before subdivision approval may be granted. Councilmember McDougal"
58,Council|s|minutes/2022/2022-01-17/2022-01-18_city-council.md|3,1,,"that the Riverton City Council adopt Ordinance No. 22-04 rezoning approximately 1.93 acres of land located at 12317 and 12325 South Redwood Road to RM-6-SD, with the following Specific Development designations: 1) properties along the north boundary shall be no more than four lots and line up as closely as possible with the existing lots to the north. 2) a solid masonry fence will be installed along the south property line prior to issuance of any building permits on the property. And directs staff to prepare a development agreement to be executed prior to subdivision approval requiring histor"
59,Council|scooters rezone,1,Scooters Rezone,"that the Riverton City Council adopt Ordinance No. 22-06 – Scooters Rezone, Proposed Rezone of 0.51-acres located at 3479 West 12600 South, from C-N to C-G. Councilmember Stewart"
60,Council|thomas rezone,1,Thomas Rezone,"that the Riverton City Council DENY Ordinance No. 22-10 – Thomas Rezone, Proposed Amendment of the General Plan to Medium Density Residential and Rezone from R-1 to R-4 approximately 1.29-acres at 3444 West 12350 South. Councilmember Buroker"
61,Council|s|minutes/2022/2022-04-04/2022-04-05_city-council.md|2,1,,suspend the City Council Meeting and move into the Redevelopment Agency Meeting and to resume the City Council Meeting once the Redevelopment Agency Meeting was adjourned. Councilmember Wells
62,Council|redwood road community reinvestment project area,1,Redwood Road Community Reinvestment Project Area,"adopt Ordinance No. 22-11 – adopting an official plan for the Redwood Road Community Reinvestment Project Area, as approved by the Riverton City Redevelopment Agency and directing that notice of the adoption be given as required by statute. Councilmember McDougal"
63,Council|south community reinvestment project area,1,South Community Reinvestment Project Area,"approve Ordinance No. 22-12 – adopting an official plan for the 12600 South Community Reinvestment Project Area, as approved by the Riverton City Redevelopment Agency and directing that notice of the adoption be given as required by statute. Councilmember Stewart"
64,Council|perry rezone,1,Perry Rezone,"that the Riverton City Council adopt Ordinance No. 22-13 – Perry Rezone, Approximately 3.79-Acres at 4623 West 12600 South, From SP- Commercial to Commercial Gateway. Councilmember McDougal"
65,Council|cardenas rezone,1,Cardenas Rezone,"that the Riverton City Council DENY Ordinance No. 22-14 – Cardenas Rezone, Rezone of approximately 2.62-acres located near 1768 West 13400 South from RR-22 to R-4. Councilmember McDougal"
66,Council|kunz rezone,1,Kunz Rezone,"that the Riverton City Council adopt Ordinance No. 22- 15 – Kunz Rezone, General Plan Amendment & Rezone of Approximately 3.25-Acres Located at 11944 South 3600 West from the General Plan Designation to Low Density Residential to Medium-High Density Residential, and Zoning from R-3 to RM-6. Councilmember McCay"
67,Council|hubbard rezone,1,Hubbard Rezone,"that the Riverton City Council adopt Ordinance No. 22-19 – Hughes and Hubbard Rezone, Rezone of 2.61 Acres Located at 12984 South 4490 West From RR-22 to R-3 (Single-family Residential with 14,000 sf Minimum Lot Size). Councilmember Stewart"
68,Council|s|minutes/2022/2022-08-15/2022-08-16_city-council.md|3,1,,"adopt Ordinance No. 22-20 – Development Agreement establishing requirements, standards, and parameters for development of approximately 5.5 acres located at 13265 S. Lovers Lane, allowing for subdivision of that property at lot sizes consistent with the current zoning. Councilmember Buroker"
69,Council|america first credit union rezone,1,America First Credit Union Rezone,"adopt Ordinance No. 22-21 – America First Credit Union Rezone, 7.93 acres at 12653 South 3600 West. Proposed Rezone from C-PO to C-G. Councilmember Buroker"
70,Council|s|minutes/2022/2022-09-19/2022-09-20_city-council.md|4,1,,"continue Ordinance No. 22-22, approving and adopting the Master Development Agreement for Riverton Ranch Estates to the October 4, 2022 City Council meeting. Councilmember McCay"
71,Council|s|minutes/2022/2022-10-03/2022-10-04_city-council.md|3,1,,"adopt Ordinance No. 22-22, the Master Development Agreement for Riverton Ranch Estates, establishing requirements, standards, and parameters for development of an eight (8) lot private lane subdivision accessing a private lane at approximately 13040 S. Redwood Road as presented with the following conditions: 1) redline corrections and issues be corrected prior to recordation of the subdivision plat; and 2) solid fencing, consistent with Riverton City’s ordinance requirements, be installed on the subdivision boundaries, including solid masonry fencing on Redwood Road. Councilmember McCay"
72,Council|s|minutes/2022/2022-11-14/2022-11-15_city-council.md|3,1,,"adopt Ordinance No. 22-25 Text Amendment, Amending Section 6.05, Animal Control, including clarifying and amending standards relating to animal impoundment and licenses. Councilmember Stewart"
73,Council|funaro rezone,1,Funaro Rezone,"that the Riverton City Council adopt Ordinance No. 22-24 – Funaro Rezone and General Plan Amendment, Proposed Amendment of the General Plan to Medium Density Residential and the Zoning from RR-22 to R-4 for 0.5 acres at 1794 West 11800 South. Councilmember Wells"
74,Council|s|minutes/2023/2023-01-16/2023-01-17_city-council.md|5,1,,"that the Riverton City Council adopt Ordinance No. 23- 01 – Code Amendment – Updating and Consolidating Section 18.90.010, Table of Commercial Uses as described in Exhibit “A” with the following condition: 1. Keep landscaping services as permitted use in the C-R zone and 2. Add a reference table to the different zonings. Councilmember Pierucci"
75,Council|s|minutes/2023/2023-01-16/2023-01-17_city-council.md|6,1,,"that the Riverton City Council adopt Ordinance No. 23-02 – Amendment to the Moderate Income Housing Element of Riverton City General Plan, Updating the Moderate Income Housing Element Language Consistent with Utah State Page | 8 Minutes – City Council Meeting January 17, 2023 Code 10-9a-403(2)(b)(iii). Councilmember McCay"
76,Council|wright parkside rezone,1,Wright-Parkside Rezone,"that the Riverton City Council adopt Ordinance No. 23- 03 - Wright-Parkside Rezone, Proposed Rezone Of Approximately 6.1 Acres, 12995 S. Sand Hollow Drive, from RM-14-SD-EHOV to RM-14-SD, removing the Elderly Housing Overlay. Councilmember Buroker"
77,Council|s|minutes/2023/2023-02-06/2023-02-07_city-council.md|6,1,,"that the Riverton City Council adopt Ordinance No. 23- Page | 9 Minutes – City Council Meeting February 7, 2023 04 - Amending Section 18.05, Definitions, Of The Riverton City Code, Clarifying And Adding To Existing Text, Amendments Proposed By Riverton City. Councilmember Buroker"
78,Council|s|minutes/2023/2023-02-20/2023-02-21_city-council.md|3,1,,"that the Riverton City Council adopt Ordinance No. 23-05 – Amending Section 18.235, Water Efficiency Standards, Updating and Amending Existing Language, Amendments Proposed by Riverton City. Councilmember McDougal"
79,Council|butterfield rezone,1,Butterfield Rezone,that the Riverton City Council adopt Ordinance No. 23-06 – Butterfield Rezone – Proposed Rezone of Approximately 0.91-Acres Located at 4141 West 13400 South From R-1 to C-R (Commercial Regional). Councilmember Pierucci
80,Council|s|minutes/2023/2023-04-03/2023-04-04_city-council.md|3,1,,that the Riverton City Council adopt Ordinance No. 23-09 – Dissolving the “Redwood South Neighborhood Redevelopment Project Area.” Councilmember McCay
81,Council|s|minutes/2023/2023-04-17/2023-04-18_city-council.md|6,1,,"that the Riverton City Council adopt Ordinance No. 23- 08 – Commercial Uses Amendment, Amending Section 18.65, 18.70, 18.75, 18.80, and 18.100, Removing Commercial Uses Language in Deference to the Adopted Table of Commercial Uses, Amendment Proposed by Riverton City. Councilmember Buroker"
