path,stem,format,extraction_method,chars
raw/2025/zgkgevti_jared-peterson-28-day-report.pdf,zgkgevti_jared-peterson-28-day-report,scanned,tesseract OCR (pdftoppm 300dpi),2238
raw/2025/04hpvyvv_hutchinson-full-report.pdf,04hpvyvv_hutchinson-full-report,text,pdftotext -layout,3150
raw/2025/qibadmnx_jordan-hutchinson-final-financial-disclosure.pdf,qibadmnx_jordan-hutchinson-final-financial-disclosure,text,pdftotext -layout,3177
raw/2025/tu4d1jnh_jordan-m-hutchinson.pdf,tu4d1jnh_jordan-m-hutchinson,text,pdftotext -layout,4691
raw/2025/epzdqr5o_casey-glade-final-financial-disclosure.pdf,epzdqr5o_casey-glade-final-financial-disclosure,text,pdftotext -layout,3315
raw/2025/tsqbcbiw_kenneth-glade.pdf,tsqbcbiw_kenneth-glade,text,pdftotext -layout,3514
raw/2025/yjippbcb_glade-full-report.pdf,yjippbcb_glade-full-report,text,pdftotext -layout,3311
raw/2025/g10dlsmf_paige-albrecht-general-report.pdf,g10dlsmf_paige-albrecht-general-report,text,pdftotext -layout,4750
raw/2025/izbbd2bf_paige-albrecht.pdf,izbbd2bf_paige-albrecht,text,pdftotext -layout,6747
raw/2025/kc5pwwiw_paige-albrecht.pdf,kc5pwwiw_paige-albrecht,scanned,tesseract OCR (pdftoppm 300dpi),4873
raw/2025/rrfeajfd_paige-albrecht-28-day-report.pdf,rrfeajfd_paige-albrecht-28-day-report,text,pdftotext -layout,5480
raw/2025/vtll50ue_paige-albrecht-5th-report.pdf,vtll50ue_paige-albrecht-5th-report,text,pdftotext -layout,3099
raw/2025/1ffk5h4w_paul-binns.pdf,1ffk5h4w_paul-binns,scanned,tesseract OCR (pdftoppm 300dpi),1838
raw/2025/3t5fjtcj_paul-binns-general-report.pdf,3t5fjtcj_paul-binns-general-report,scanned,tesseract OCR (pdftoppm 300dpi),1936
raw/2025/fhohtszx_paul-binns-5th-report.pdf,fhohtszx_paul-binns-5th-report,scanned,tesseract OCR (pdftoppm 300dpi),1561
raw/2025/l04l2bbd_paul-binns.pdf,l04l2bbd_paul-binns,scanned,tesseract OCR (pdftoppm 300dpi),2166
raw/2025/zc4k4sl3_paul-binns-28-day-report.pdf,zc4k4sl3_paul-binns-28-day-report,scanned,tesseract OCR (pdftoppm 300dpi),1717
raw/2025/2crfza1x_hancock-september-11-financial-disclosures.pdf,2crfza1x_hancock-september-11-financial-disclosures,scanned,tesseract OCR (pdftoppm 300dpi),1019
raw/2025/gp3nridr_paul-hancock.pdf,gp3nridr_paul-hancock,scanned,tesseract OCR (pdftoppm 300dpi),1069
raw/2025/xxybhzho_paul-hancock.pdf,xxybhzho_paul-hancock,scanned,tesseract OCR (pdftoppm 300dpi),1519
raw/2025/bewgny3r_rachel-freeman-general-report.pdf,bewgny3r_rachel-freeman-general-report,scanned,tesseract OCR (pdftoppm 300dpi),2415
raw/2025/dradxabs_rachel-freeman-28-day-report.pdf,dradxabs_rachel-freeman-28-day-report,scanned,tesseract OCR (pdftoppm 300dpi),2443
raw/2025/nm5dtdaz_rachel-freeman-5th-report.pdf,nm5dtdaz_rachel-freeman-5th-report,scanned,tesseract OCR (pdftoppm 300dpi),1599
raw/2025/pb5giuci_rachel-freeman.pdf,pb5giuci_rachel-freeman,scanned,tesseract OCR (pdftoppm 300dpi),3455
raw/2025/qrxnwz1g_rachel-freeman.pdf,qrxnwz1g_rachel-freeman,scanned,tesseract OCR (pdftoppm 300dpi),1729
raw/2025/2tnmgybe_tyson-hodges-final-financial-disclosure.pdf,2tnmgybe_tyson-hodges-final-financial-disclosure,scanned,tesseract OCR (pdftoppm 300dpi),870
raw/2025/jg3i2pt5_tyson-hodges.pdf,jg3i2pt5_tyson-hodges,scanned,tesseract OCR (pdftoppm 300dpi),1745
raw/2025/soynzfay_tyson-hodges.pdf,soynzfay_tyson-hodges,scanned,tesseract OCR (pdftoppm 300dpi),1736
