source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2023-04-12_pc-roa.md,7,2023-04-12,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-04-12_pc-roa.md,8,2023-04-12,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-07-12_pc-roa.md,1,2023-07-12,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,4,3,,roll-call,Negative recommendation 4:3,crosswalk,high
pmn_backfill/roa/2023-07-26_pc-roa.md,1,2023-07-26,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-07-26_pc-roa.md,2,2023-07-26,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-07-26_pc-roa.md,3,2023-07-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2023-07-26_pc-roa.md,4,2023-07-26,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,procedural,pass,6,0,,roll-call,6:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-13_pc-roa.md,1,2023-09-13,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2023-09-13_pc-roa.md,2,2023-09-13,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,1,2023-09-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,procedural,pass,9,0,,roll-call,9:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,2,2023-09-27,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2023-09-27_pc-roa.md,3,2023-09-27,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,9,0,,roll-call,9:0 Approved (Final Action),crosswalk,high
