application_id,app_key,body_id,name,rep_title
44,CDRA|s|minutes/2023/2023-11-06/2023-11-07_work-session-and-business-meeting.md|4,1,,"MOTION: Council Member Newell moved to APPROVE the Minutes of the City Council Work Session, CDRA Business Meeting, and City Council Business Meeting of October 17, 2023. The motion was seconded by Council Member Holton"
45,CDRA|s|minutes/2023/2023-11-20/2023-11-21_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Birrell moved to ADJOURN the CDRA Work Session. The motion was seconded by Board Member Newell
46,Council|transportation master plan,2,Transportation Master Plan,"MOTION: Council Member Bracken moved to APPROVE Ordinance 405. The motion was seconded by Council Member Newell. Council Member Birrell appreciated Staff and the history behind having Master Plans. She has voiced her concerns regarding the need to put safety as the number one element within the Transportation Master Plan and although there are many elements she appreciated; she was not supportive of approval at this time. Vote on Motion: Council Member Holton-Aye, Council Member Newell-Aye, Council Member Birrell-Nay, and Mayor Pro Temp Bracken-Aye"
47,Council|tavaci annexation,2,Tavaci Annexation,"Council Member Scott Bracken– Pam Roberts General Manager / CEO Recognition of Council Member Backen by Pam Roberts General Manager / CEO, with the Wasatch Front Waste and Recycling District. 4.0 CITIZEN COMMENTS City Manager Tim Tingey will admit into the record written public comments submitted to the City Recorder prior to 4:00 p.m. on the meeting date - Patricia Gurell – opposing proposed Tavaci Annexation. Mike Hanson Leslie Kovach Randy Whitehead Shane Topham Gaylen Bennion 5.0 ADJOURN CITY COUNCIL BUSINESS MEETING Motion by Council Member Bracken Second by Council Member Newell All Yes"
48,CDRA|s|minutes/2024/2024-02-19/2024-02-20_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Holton moved to ADJOURN the CDRA Meeting. The motion was seconded by Board Member Birrell
49,Council|s|minutes/2024/2024-02-19/2024-02-20_work-session-and-business-meeting.md|3,2,,"MOTION: Council Member Holton moved to APPROVE Adoption of Ordinance 410-A a Re- zone of .45-acre of realty located at 7980 South Danish Oak Drive. Council Member Newell seconded the motion. Vote on Motion: Council Member Holton-Yes, Council Member Birrell- Yes, Council Member Hyland-Yes, Council Member Newell-Yes, Mayor Weichers-Yes"
50,CDRA|s|minutes/2024/2024-03-04/2024-03-05_work-session-and-business-meeting.md|7,1,,"MOTION: Council Member Holton moved to APPROVE the City Council Legislative Work Session Minutes of February 15, 2024, and the City Council Work Session, CDRA Work Session, and Business Meeting Minutes of February 20, 2024. The motion was seconded by Council Member Hyland"
51,Council|s|minutes/2024/2024-04-15/2024-04-16_work-session-and-business-meeting.md|6,2,,"MOTION: Council Member Birrell moved to APPROVE Resolution 2024-26, Approving an Independent Contractor Agreement for Land Use Hearing Officer Services. The motion was seconded by Council Member Hyland. Vote on motion: Council Member Holton-Yes, Council Member Hyland-Yes, Council Member Birrell-Yes, and Mayor Weichers-Yes"
52,CDRA|s|minutes/2024/2024-06-03/2024-06-04_work-session-and-business-meeting.md|3,1,,MOTION: Council Member Hyland moved to CLOSE the CDRA Meeting. The motion was seconded by Council Member Holton
53,CDRA|s|minutes/2024/2024-07-01/2024-07-02_work-session-and-business-meeting.md|3,1,,MOTION: Council Member Holton moved to ADJOURN the CDRA Meeting. The motion was seconded by Council Member Hyland
