year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2013,municipal general,Council,At-Large,Bluffdale City Council At-Large,ALAN JACKSON,872,38.5,1,True
2013,municipal general,Council,At-Large,Bluffdale City Council At-Large,JUSTIN WESTWOOD,793,35.01,2,True
2013,municipal general,Council,At-Large,Bluffdale City Council At-Large,WILLIAM UNDERWOOD,589,26.0,3,False
2013,municipal general,Council,At-Large,Bluffdale City Council At-Large,Write-in,11,0.49,4,False
2013,municipal general,Mayor,,Bluffdale City Mayor,DERK P. TIMOTHY,1245,97.57,1,True
2013,municipal general,Mayor,,Bluffdale City Mayor,Write-in,31,2.43,2,False
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,JAMES L. WINGATE,1031,25.87,1,True
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,BOYD PREECE,935,23.46,2,True
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,TY T. NIELSEN,904,22.69,3,True
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,NANCY LORD,769,19.3,4,False
2015,municipal general,Council,At-Large,Bluffdale City Council At-Large,KENNETH R. MCCABE,346,8.68,5,False
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large,ALAN JACKSON,744,29.63,1,True
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large,WENDY W. ASTON,708,28.2,2,True
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large,CONNIE ROBBINS,704,28.04,3,False
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large,ULISES FLYNN,355,14.14,4,False
2017,municipal general,Council,At-Large,Bluffdale City Council At-Large (2-Year),DAVE KALLAS,1234,100.0,1,True
2017,municipal general,Mayor,,Bluffdale City Mayor,DERK POWELL TIMOTHY,1238,100.0,1,True
2017,municipal primary,Council,At-Large,Bluffdale City Council At-Large,DAVE KALLAS,553,54.32,1,False
2017,municipal primary,Council,At-Large,Bluffdale City Council At-Large,NANCY LORD,292,28.68,2,False
2017,municipal primary,Council,At-Large,Bluffdale City Council At-Large,CARSON L. MITCHELL,111,10.9,3,False
2017,municipal primary,Council,At-Large,Bluffdale City Council At-Large,COURTNEY HANSEN,62,6.09,4,False
2019,municipal general,Council,At-Large,Bluffdale City Council At-Large,DAVE KALLAS,1120,22.5,1,True
2019,municipal general,Council,At-Large,Bluffdale City Council At-Large,JEFF GASTON,1054,21.18,2,True
