year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD045,DAVE ALVORD,7,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD045,STEVE BARNES,1,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,ALETA ANDERSEN TAYLOR,3,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,SCOTT L. OSBORNE,11,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,KATHIE LYNN JOHNSON,1,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,MARK T. WOOLLEY,9,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,DAVE ALVORD,13,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD046,STEVE BARNES,20,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,ALETA ANDERSEN TAYLOR,1,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,SCOTT L. OSBORNE,42,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,KATHIE LYNN JOHNSON,0,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,MARK T. WOOLLEY,13,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,DAVE ALVORD,4,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD047,STEVE BARNES,9,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,ALETA ANDERSEN TAYLOR,1,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,SCOTT L. OSBORNE,11,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,KATHIE LYNN JOHNSON,2,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,MARK T. WOOLLEY,30,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,DAVE ALVORD,4,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD048,STEVE BARNES,1,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,ALETA ANDERSEN TAYLOR,3,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,SCOTT L. OSBORNE,17,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,KATHIE LYNN JOHNSON,5,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,MARK T. WOOLLEY,16,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,DAVE ALVORD,17,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD049,STEVE BARNES,4,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,ALETA ANDERSEN TAYLOR,6,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,SCOTT L. OSBORNE,34,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,KATHIE LYNN JOHNSON,6,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,MARK T. WOOLLEY,59,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,DAVE ALVORD,7,False
2013,municipal primary,Mayor,,South Jordan City Mayor,SJD050,STEVE BARNES,7,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD016,PATRICK HARRIS,141,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD016,THOMAS E. GEILMANN,120,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD017,PATRICK HARRIS,205,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD017,THOMAS E. GEILMANN,89,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD018,PATRICK HARRIS,118,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD018,THOMAS E. GEILMANN,111,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD019,PATRICK HARRIS,234,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD019,THOMAS E. GEILMANN,193,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD020,PATRICK HARRIS,15,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD020,THOMAS E. GEILMANN,3,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD021,PATRICK HARRIS,169,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD021,THOMAS E. GEILMANN,56,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD022,PATRICK HARRIS,413,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD022,THOMAS E. GEILMANN,74,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD037,PATRICK HARRIS,92,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD037,THOMAS E. GEILMANN,69,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD040,PATRICK HARRIS,214,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD040,THOMAS E. GEILMANN,89,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD050,PATRICK HARRIS,107,False
2015,municipal general,Council,1,South Jordan City Council District 1,SJD050,THOMAS E. GEILMANN,67,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD007,BRAD MARLOR,98,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD007,CHUCK NEWTON,80,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD008,BRAD MARLOR,181,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD008,CHUCK NEWTON,125,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD009,BRAD MARLOR,27,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD009,CHUCK NEWTON,19,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD010,BRAD MARLOR,121,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD010,CHUCK NEWTON,173,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD012,BRAD MARLOR,294,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD012,CHUCK NEWTON,118,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD013,BRAD MARLOR,278,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD013,CHUCK NEWTON,119,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD014,BRAD MARLOR,363,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD014,CHUCK NEWTON,78,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD015,BRAD MARLOR,272,False
2015,municipal general,Council,2,South Jordan City Council District 2,SJD015,CHUCK NEWTON,100,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD025,TAMARA ZANDER,164,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD025,JOHN H. GEILMANN,57,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD029,TAMARA ZANDER,136,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD029,JOHN H. GEILMANN,138,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD033,TAMARA ZANDER,268,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD033,JOHN H. GEILMANN,76,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD038,TAMARA ZANDER,137,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD038,JOHN H. GEILMANN,214,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD039,TAMARA ZANDER,11,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD039,JOHN H. GEILMANN,28,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD041,TAMARA ZANDER,175,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD041,JOHN H. GEILMANN,93,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD042,TAMARA ZANDER,117,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD042,JOHN H. GEILMANN,65,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD046,TAMARA ZANDER,66,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD046,JOHN H. GEILMANN,48,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD049,TAMARA ZANDER,101,False
2015,municipal general,Council,4,South Jordan City Council District 4,SJD049,JOHN H. GEILMANN,36,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD016,ERIC HANSEN,35,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD016,PATRICK HARRIS,32,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD016,ANNA T. FLORIN,21,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD016,THOMAS E. GEILMANN,62,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD016,NATHAN D. GEDGE,11,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD017,ERIC HANSEN,26,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD017,PATRICK HARRIS,53,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD017,ANNA T. FLORIN,20,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD017,THOMAS E. GEILMANN,35,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD017,NATHAN D. GEDGE,17,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD018,ERIC HANSEN,15,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD018,PATRICK HARRIS,41,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD018,ANNA T. FLORIN,18,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD018,THOMAS E. GEILMANN,90,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD018,NATHAN D. GEDGE,7,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD019,ERIC HANSEN,23,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD019,PATRICK HARRIS,142,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD019,ANNA T. FLORIN,21,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD019,THOMAS E. GEILMANN,187,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD019,NATHAN D. GEDGE,7,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD020,ERIC HANSEN,1,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD020,PATRICK HARRIS,6,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD020,ANNA T. FLORIN,1,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD020,THOMAS E. GEILMANN,3,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD020,NATHAN D. GEDGE,2,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD021,ERIC HANSEN,24,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD021,PATRICK HARRIS,76,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD021,ANNA T. FLORIN,16,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD021,THOMAS E. GEILMANN,19,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD021,NATHAN D. GEDGE,16,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD022,ERIC HANSEN,13,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD022,PATRICK HARRIS,287,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD022,ANNA T. FLORIN,20,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD022,THOMAS E. GEILMANN,33,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD022,NATHAN D. GEDGE,24,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD037,ERIC HANSEN,15,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD037,PATRICK HARRIS,33,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD037,ANNA T. FLORIN,17,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD037,THOMAS E. GEILMANN,29,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD037,NATHAN D. GEDGE,3,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD040,ERIC HANSEN,15,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD040,PATRICK HARRIS,103,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD040,ANNA T. FLORIN,24,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD040,THOMAS E. GEILMANN,22,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD040,NATHAN D. GEDGE,9,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD050,ERIC HANSEN,8,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD050,PATRICK HARRIS,45,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD050,ANNA T. FLORIN,15,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD050,THOMAS E. GEILMANN,22,False
2015,municipal primary,Council,1,South Jordan City Council District 1,SJD050,NATHAN D. GEDGE,5,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD007,BRAD MARLOR,20,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD007,CHUCK NEWTON,32,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD007,ANDREW C. PETERSEN,8,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD007,PAUL BATEMAN,37,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD008,BRAD MARLOR,43,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD008,CHUCK NEWTON,94,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD008,ANDREW C. PETERSEN,12,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD008,PAUL BATEMAN,34,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD009,BRAD MARLOR,2,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD009,CHUCK NEWTON,14,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD009,ANDREW C. PETERSEN,1,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD009,PAUL BATEMAN,27,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD010,BRAD MARLOR,40,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD010,CHUCK NEWTON,148,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD010,ANDREW C. PETERSEN,13,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD010,PAUL BATEMAN,45,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD012,BRAD MARLOR,105,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD012,CHUCK NEWTON,110,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD012,ANDREW C. PETERSEN,11,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD012,PAUL BATEMAN,41,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD013,BRAD MARLOR,105,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD013,CHUCK NEWTON,121,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD013,ANDREW C. PETERSEN,9,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD013,PAUL BATEMAN,17,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD014,BRAD MARLOR,241,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD014,CHUCK NEWTON,56,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD014,ANDREW C. PETERSEN,10,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD014,PAUL BATEMAN,18,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD015,BRAD MARLOR,131,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD015,CHUCK NEWTON,78,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD015,ANDREW C. PETERSEN,10,False
2015,municipal primary,Council,2,South Jordan City Council District 2,SJD015,PAUL BATEMAN,14,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD025,KEILA MOWER,20,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD025,TAMARA ZANDER,140,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD025,JOHN H. GEILMANN,17,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD029,KEILA MOWER,59,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD029,TAMARA ZANDER,113,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD029,JOHN H. GEILMANN,16,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD033,KEILA MOWER,10,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD033,TAMARA ZANDER,162,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD033,JOHN H. GEILMANN,33,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD038,KEILA MOWER,17,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD038,TAMARA ZANDER,74,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD038,JOHN H. GEILMANN,153,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD039,KEILA MOWER,0,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD039,TAMARA ZANDER,1,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD039,JOHN H. GEILMANN,18,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD041,KEILA MOWER,11,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD041,TAMARA ZANDER,83,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD041,JOHN H. GEILMANN,30,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD042,KEILA MOWER,22,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD042,TAMARA ZANDER,47,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD042,JOHN H. GEILMANN,33,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD046,KEILA MOWER,4,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD046,TAMARA ZANDER,53,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD046,JOHN H. GEILMANN,9,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD049,KEILA MOWER,7,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD049,TAMARA ZANDER,68,False
2015,municipal primary,Council,4,South Jordan City Council District 4,SJD049,JOHN H. GEILMANN,6,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD001,JULIE HOLBROOK,96,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD001,DON SHELTON,255,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD002,JULIE HOLBROOK,9,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD002,DON SHELTON,8,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD003,JULIE HOLBROOK,79,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD003,DON SHELTON,229,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD004,JULIE HOLBROOK,90,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD004,DON SHELTON,226,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD005,JULIE HOLBROOK,53,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD005,DON SHELTON,153,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD006,JULIE HOLBROOK,151,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD006,DON SHELTON,135,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD023,JULIE HOLBROOK,137,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD023,DON SHELTON,128,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD024,JULIE HOLBROOK,74,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD024,DON SHELTON,140,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD027,JULIE HOLBROOK,196,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD027,DON SHELTON,175,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD035,JULIE HOLBROOK,83,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD035,DON SHELTON,97,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD045,JULIE HOLBROOK,55,False
2017,municipal general,Council,3,South Jordan City Council District 3,SJD045,DON SHELTON,91,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD026,SANDRA KAY KIRKENDOLL,86,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD026,JASON T MCGUIRE,277,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD028,SANDRA KAY KIRKENDOLL,115,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD028,JASON T MCGUIRE,131,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD030,SANDRA KAY KIRKENDOLL,95,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD030,JASON T MCGUIRE,258,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD031,SANDRA KAY KIRKENDOLL,169,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD031,JASON T MCGUIRE,114,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD032,SANDRA KAY KIRKENDOLL,94,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD032,JASON T MCGUIRE,129,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD034,SANDRA KAY KIRKENDOLL,200,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD034,JASON T MCGUIRE,83,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD036,SANDRA KAY KIRKENDOLL,209,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD036,JASON T MCGUIRE,77,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD047,SANDRA KAY KIRKENDOLL,148,False
2017,municipal general,Council,5,South Jordan City Council District 5,SJD047,JASON T MCGUIRE,94,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD001,DAWN RAMSEY,182,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD001,MARK T. WOOLLEY,165,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD002,DAWN RAMSEY,13,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD002,MARK T. WOOLLEY,4,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD003,DAWN RAMSEY,172,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD003,MARK T. WOOLLEY,130,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD004,DAWN RAMSEY,198,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD004,MARK T. WOOLLEY,116,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD005,DAWN RAMSEY,125,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD005,MARK T. WOOLLEY,78,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD006,DAWN RAMSEY,173,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD006,MARK T. WOOLLEY,122,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD007,DAWN RAMSEY,93,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD007,MARK T. WOOLLEY,61,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD008,DAWN RAMSEY,162,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD008,MARK T. WOOLLEY,127,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD009,DAWN RAMSEY,22,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD009,MARK T. WOOLLEY,13,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD010,DAWN RAMSEY,162,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD010,MARK T. WOOLLEY,110,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD012,DAWN RAMSEY,145,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD012,MARK T. WOOLLEY,182,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD013,DAWN RAMSEY,142,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD013,MARK T. WOOLLEY,180,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD014,DAWN RAMSEY,119,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD014,MARK T. WOOLLEY,214,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD015,DAWN RAMSEY,108,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD015,MARK T. WOOLLEY,249,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD016,DAWN RAMSEY,141,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD016,MARK T. WOOLLEY,150,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD017,DAWN RAMSEY,196,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD017,MARK T. WOOLLEY,178,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD018,DAWN RAMSEY,101,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD018,MARK T. WOOLLEY,122,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD019,DAWN RAMSEY,204,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD019,MARK T. WOOLLEY,243,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD020,DAWN RAMSEY,27,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD020,MARK T. WOOLLEY,14,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD021,DAWN RAMSEY,134,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD021,MARK T. WOOLLEY,83,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD022,DAWN RAMSEY,330,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD022,MARK T. WOOLLEY,132,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD023,DAWN RAMSEY,175,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD023,MARK T. WOOLLEY,92,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD024,DAWN RAMSEY,170,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD024,MARK T. WOOLLEY,49,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD025,DAWN RAMSEY,118,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD025,MARK T. WOOLLEY,53,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD026,DAWN RAMSEY,230,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD026,MARK T. WOOLLEY,127,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD027,DAWN RAMSEY,237,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD027,MARK T. WOOLLEY,141,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD028,DAWN RAMSEY,161,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD028,MARK T. WOOLLEY,86,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD029,DAWN RAMSEY,107,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD029,MARK T. WOOLLEY,90,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD030,DAWN RAMSEY,204,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD030,MARK T. WOOLLEY,159,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD031,DAWN RAMSEY,166,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD031,MARK T. WOOLLEY,118,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD032,DAWN RAMSEY,131,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD032,MARK T. WOOLLEY,94,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD033,DAWN RAMSEY,245,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD033,MARK T. WOOLLEY,104,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD034,DAWN RAMSEY,144,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD034,MARK T. WOOLLEY,141,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD035,DAWN RAMSEY,119,False
2017,municipal general,Mayor,,South Jordan City Mayor,SJD035,MARK T. WOOLLEY,62,False
