stem,bytes,chars,status
683607_TOA_Zoning_Code_clean_with_latest_changes_redlined_final_2.4.21,429249,175091,extracted
683609_2021-O-1_Ordinance_Supporting_Land_Use_Amendments_w_att,498125,188963,extracted
683613_Ranked_Choice_Voting_Summary,89855,2563,extracted
683615_Alta_Revenue_and_Cost_Allocation_Study_Proposal_2-1-2021,173470,9795,extracted
690433_2021-2-26_Town_Council_Agenda,263962,2462,extracted
690431_2021-2-2_Determination_Letter_Location,158107,2060,extracted
690435_Budget_Committee_Meeting_topics_FY_2022,94983,3272,extracted
693389_2021-3-10_Town_Council_Agenda,283723,5061,extracted
693395_2021-3-10_Consent_Agenda,1565545,108920,extracted
693387_2021-3_Determination_Letter_Location,158060,2060,extracted
693391_2021-R-4_Resolution_Honoring_Our_Public_Safety_Professionals,70552,3935,extracted
693393_2021-3-10_C-REP-Documents-Combined,481801,71122,extracted
693397_2021-R-6_Dog_Resolution_draft,82100,3615,extracted
693399_2021_RFP_Business_License_Fee_draft,187709,12275,extracted
693401_2021_RFP_Revenue_and_Expense_Analysis_draft,187623,11833,extracted
693403_Last_items_for_Land_Use_Ordinance_3.4.21,217013,8296,extracted
693405_TOA_Zoning_Code_cumulative_redline_3.4.21,443955,185032,extracted
693407_TOA_Zoning_Code_clean_with_latest_changes_redlined_3.4.21,429845,175524,extracted
693409_Ordinance-supporting-Land-Use-Amendments-TOA-3.4.21,86211,4284,extracted
695313_2021-3-12_Town_Council_Budget_Committee_Meeting_Agenda,205944,2514,extracted
705955_2021-4-14_Town_Council_Agenda,281013,4441,extracted
705981_2021-4-14_Consent_Agenda,1157619,101909,extracted
705967_Staff_report_Purchasing_Policy,115392,1531,extracted
705979_Staff_report_peruvian_estates,117688,1081,extracted
705985_Staff_report_zoning_map,117025,1037,extracted
705953_2021-4_Determination_Letter_Location,158189,2040,extracted
705957_ASL_Parking_Comments,958635,8454,extracted
705959_Ketner_Fwd_Town_meeting,140906,1742,extracted
705961_Procurement_Policy_4.8.21_DRAFT,121560,19086,extracted
705963_2021-R-7_Resolution_adopting_Procurement_Policy,33217,2039,extracted
705965_SUMMARY_OF_ALTA_PURCHASING_POLICY,71608,1226,extracted
705969_Purchasing_Policy_JUNE_16_2011_Procurement_contract,75581,5198,extracted
705973_2021-O-2_DRAFT_peruvian_estates_STR_busienss_license_equirements,41740,3458,extracted
705975_draft_peruvian_estates_STR_business_license_requirements,41740,3458,extracted
705977_1997-O-3_and_O-4_re_parking_caretaker,231575,0,image_only
705983_UABPOZ_8.20.2020,3676492,1383,extracted
709403_2021-5-21_Ennead_Presentation_Agenda,267684,3663,extracted
709405_2021-4_Determination_Letter_Location,158189,2040,extracted
709699_PC-Agenda-Tuesday-April-27-2021,142818,2052,extracted
715569_2021-5-12_Town_Council_Agenda,274883,4363,extracted
715579_2021-5-12_Consent_Agenda,1649512,102222,extracted
715567_2021-5-6_Determination_Letter_Location,158955,2027,extracted
715571_FY2021_Projected_Budget_June_Amendment,145710,73246,extracted
715573_2021-5-6_FY2021_Budget_notes,84336,2808,extracted
715577_2021-5-6_FY2022_Budget_notes,82717,2137,extracted
715581_PUBLIC_NOTICE_-_Budget_Hearings_June_2021,66324,1051,extracted
715583_Briggs_Clarification_of_my_remarks_re_Business_License_Parking_requirement,98359,1684,extracted
717109_FY2022_Proposed_Tentative_Budget,149458,78980,extracted
718169_2021-5-14_Town_Council_Agenda,261165,2682,extracted
718167_2021-5-6_Determination_Letter_Location,158955,2027,extracted
718171_FY21_Projected_June_Amendment_w_diff,150360,86008,extracted
718173_FY2022_Adopted_2021-5-12_Tentative_Budget,149805,80934,extracted
729314_2021-6-16_Town_Council_Agenda,285374,5139,extracted
